origin,destination,route,duration,distance
2,7,"[[-1.982469, 43.320527], [-1.982316, 43.320583], [-1.982337, 43.320614], [-1.981544, 43.32091], [-1.980104, 43.318845], [-1.979717, 43.318321], [-1.979875, 43.316803], [-1.979422, 43.316774], [-1.979185, 43.316761], [-1.979564, 43.313278], [-1.97957, 43.312592], [-1.979396, 43.311631], [-1.979414, 43.311501], [-1.978952, 43.309324], [-1.978818, 43.309], [-1.978615, 43.308668], [-1.978395, 43.308358], [-1.978164, 43.308084], [-1.97788, 43.307801], [-1.977204, 43.307337], [-1.976952, 43.307192], [-1.976654, 43.307081], [-1.976262, 43.306995], [-1.975922, 43.306956], [-1.975812, 43.306929], [-1.975777, 43.307054], [-1.975428, 43.307067], [-1.974854, 43.307142], [-1.974237, 43.307348], [-1.973905, 43.307534], [-1.97376, 43.307651], [-1.973575, 43.307862], [-1.973481, 43.308012], [-1.973398, 43.308258], [-1.973352, 43.308664], [-1.973366, 43.308843], [-1.971564, 43.308906], [-1.971568, 43.308959], [-1.971595, 43.30899], [-1.971657, 43.309979]]",545478,2464.135
2,8,"[[-1.982469, 43.320527], [-1.982316, 43.320583], [-1.982337, 43.320614], [-1.981544, 43.32091], [-1.980104, 43.318845], [-1.979717, 43.318321], [-1.979875, 43.316803], [-1.979422, 43.316774], [-1.979185, 43.316761], [-1.979564, 43.313278], [-1.97957, 43.312592], [-1.979396, 43.311631], [-1.979414, 43.311501], [-1.978952, 43.309324], [-1.978818, 43.309], [-1.978615, 43.308668], [-1.978395, 43.308358], [-1.978164, 43.308084], [-1.97788, 43.307801], [-1.977204, 43.307337], [-1.976952, 43.307192], [-1.976654, 43.307081], [-1.976262, 43.306995], [-1.975922, 43.306956], [-1.975812, 43.306929], [-1.975575, 43.306694], [-1.976462, 43.306228], [-1.976669, 43.306101], [-1.977744, 43.30555], [-1.97767, 43.305448], [-1.97537, 43.303165], [-1.975328, 43.303186], [-1.976296, 43.304188]]",590819,2579.431
2,9,"[[-1.982469, 43.320527], [-1.982316, 43.320583], [-1.982337, 43.320614], [-1.981544, 43.32091], [-1.980104, 43.318845], [-1.979717, 43.318321], [-1.979875, 43.316803], [-1.979422, 43.316774], [-1.979185, 43.316761], [-1.979564, 43.313278], [-1.97957, 43.312592], [-1.979396, 43.311631], [-1.979414, 43.311501], [-1.978952, 43.309324], [-1.978818, 43.309], [-1.978615, 43.308668], [-1.978395, 43.308358], [-1.978164, 43.308084], [-1.97788, 43.307801], [-1.977204, 43.307337], [-1.976952, 43.307192], [-1.976654, 43.307081], [-1.976262, 43.306995], [-1.975922, 43.306956], [-1.975812, 43.306929], [-1.975575, 43.306694], [-1.976462, 43.306228], [-1.976509, 43.306142], [-1.97653, 43.306049], [-1.97648, 43.306005], [-1.975076, 43.305449], [-1.975125, 43.305385], [-1.975087, 43.305143], [-1.974905, 43.304957], [-1.974623, 43.304897], [-1.974559, 43.303464], [-1.974594, 43.303376], [-1.974497, 43.30331], [-1.974192, 43.302995], [-1.974118, 43.302993], [-1.974058, 43.30301], [-1.973924, 43.303076], [-1.973788, 43.302928], [-1.973741, 43.302751], [-1.973753, 43.302522], [-1.974205, 43.302434], [-1.974725, 43.302211], [-1.975054, 43.30197], [-1.975269, 43.301956], [-1.975468, 43.30208], [-1.975544, 43.302055], [-1.97561, 43.30212], [-1.97518, 43.302335]]",745723,2758.611
2,10,"[[-1.982469, 43.320527], [-1.982316, 43.320583], [-1.982337, 43.320614], [-1.983852, 43.320061], [-1.983897, 43.320095], [-1.984075, 43.320031], [-1.984107, 43.319994], [-1.984811, 43.319718], [-1.984767, 43.319481], [-1.984458, 43.319032], [-1.984438, 43.318956], [-1.984466, 43.318884], [-1.984678, 43.318765], [-1.984877, 43.318689], [-1.984944, 43.318638], [-1.985105, 43.318402], [-1.985677, 43.317703], [-1.986203, 43.317171], [-1.986806, 43.316664], [-1.987477, 43.316174], [-1.988225, 43.31567], [-1.989145, 43.315165], [-1.989337, 43.315113], [-1.991613, 43.314674], [-1.992253, 43.314578], [-1.992592, 43.314542], [-1.993737, 43.314509], [-1.995679, 43.314499], [-1.995968, 43.314522], [-1.997295, 43.314793], [-1.997722, 43.314934], [-1.99878, 43.315392], [-1.999274, 43.315553], [-2.000136, 43.315678], [-2.000306, 43.315686], [-2.000479, 43.315677], [-2.000834, 43.315592], [-2.001015, 43.315521], [-2.001069, 43.315505], [-2.001238, 43.315521], [-2.001529, 43.315606], [-2.00157, 43.315644], [-2.001699, 43.315681], [-2.001775, 43.315672], [-2.003416, 43.316183], [-2.004404, 43.314445], [-2.004459, 43.314306], [-2.00448, 43.314271], [-2.00453, 43.314207], [-2.005823, 43.313555], [-2.005825, 43.313506], [-2.005599, 43.313267], [-2.005614, 43.313217], [-2.006333, 43.31285], [-2.005956, 43.312451], [-2.005904, 43.31248]]",646603,2667.864
2,11,"[[-1.982469, 43.320527], [-1.982316, 43.320583], [-1.982337, 43.320614], [-1.983852, 43.320061], [-1.983897, 43.320095], [-1.984075, 43.320031], [-1.984107, 43.319994], [-1.984811, 43.319718], [-1.984767, 43.319481], [-1.984458, 43.319032], [-1.984438, 43.318956], [-1.984466, 43.318884], [-1.984678, 43.318765], [-1.984877, 43.318689], [-1.984944, 43.318638], [-1.985105, 43.318402], [-1.985677, 43.317703], [-1.986203, 43.317171], [-1.986806, 43.316664], [-1.987477, 43.316174], [-1.988225, 43.31567], [-1.989145, 43.315165], [-1.989337, 43.315113], [-1.991613, 43.314674], [-1.992253, 43.314578], [-1.992592, 43.314542], [-1.993737, 43.314509], [-1.995679, 43.314499], [-1.995968, 43.314522], [-1.997295, 43.314793], [-1.997722, 43.314934], [-1.99878, 43.315392], [-1.999274, 43.315553], [-2.000136, 43.315678], [-2.000306, 43.315686], [-2.000479, 43.315677], [-2.000834, 43.315592], [-2.001015, 43.315521], [-2.001069, 43.315505], [-2.001238, 43.315521], [-2.001529, 43.315606], [-2.00157, 43.315644], [-2.001699, 43.315681], [-2.001775, 43.315672], [-2.003416, 43.316183], [-2.004404, 43.314445], [-2.004459, 43.314306], [-2.00448, 43.314271], [-2.00453, 43.314207], [-2.00579, 43.313572], [-2.005828, 43.313612], [-2.008903, 43.312079], [-2.00874, 43.311913]]",679564,2821.451
2,12,"[[-1.982469, 43.320527], [-1.982316, 43.320583], [-1.982337, 43.320614], [-1.983852, 43.320061], [-1.983897, 43.320095], [-1.984075, 43.320031], [-1.984107, 43.319994], [-1.984811, 43.319718], [-1.984767, 43.319481], [-1.984458, 43.319032], [-1.984438, 43.318956], [-1.984466, 43.318884], [-1.984678, 43.318765], [-1.984877, 43.318689], [-1.984944, 43.318638], [-1.985105, 43.318402], [-1.985677, 43.317703], [-1.986203, 43.317171], [-1.986806, 43.316664], [-1.987477, 43.316174], [-1.988225, 43.31567], [-1.989145, 43.315165], [-1.989337, 43.315113], [-1.991613, 43.314674], [-1.992253, 43.314578], [-1.992592, 43.314542], [-1.993737, 43.314509], [-1.995679, 43.314499], [-1.995968, 43.314522], [-1.997295, 43.314793], [-1.997722, 43.314934], [-1.99878, 43.315392], [-1.999274, 43.315553], [-2.000136, 43.315678], [-2.000306, 43.315686], [-2.000479, 43.315677], [-2.000834, 43.315592], [-2.001015, 43.315521], [-2.001069, 43.315505], [-2.001238, 43.315521], [-2.001529, 43.315606], [-2.00157, 43.315644], [-2.001699, 43.315681], [-2.001775, 43.315672], [-2.003416, 43.316183], [-2.004404, 43.314445], [-2.004459, 43.314306], [-2.00448, 43.314271], [-2.00453, 43.314207], [-2.005823, 43.313555], [-2.005825, 43.313506], [-2.005599, 43.313267], [-2.005614, 43.313217], [-2.010119, 43.310953], [-2.010175, 43.310906], [-2.010197, 43.310699], [-2.010369, 43.310475], [-2.010495, 43.310227], [-2.010565, 43.309964], [-2.010641, 43.309294], [-2.010624, 43.309155], [-2.010544, 43.309028], [-2.010579, 43.309003], [-2.010557, 43.308982], [-2.010437, 43.30897]]",770473,3221.749
2,13,"[[-1.982469, 43.320527], [-1.982316, 43.320583], [-1.982337, 43.320614], [-1.981544, 43.32091], [-1.980104, 43.318845], [-1.979717, 43.318321], [-1.979961, 43.315997], [-1.980206, 43.313717], [-1.98039, 43.313723], [-1.980575, 43.313664], [-1.981305, 43.313393], [-1.981422, 43.313326], [-1.981369, 43.313284], [-1.981146, 43.312959], [-1.981009, 43.312698], [-1.980771, 43.312283], [-1.980742, 43.312204], [-1.980763, 43.312158], [-1.980755, 43.312054], [-1.980548, 43.311733], [-1.980419, 43.311254], [-1.980278, 43.311268], [-1.979725, 43.308485], [-1.981659, 43.308275], [-1.981841, 43.308288], [-1.981857, 43.308204], [-1.982757, 43.308233], [-1.982756, 43.308264], [-1.982798, 43.308318], [-1.982865, 43.308339], [-1.982907, 43.308336], [-1.982935, 43.308434], [-1.982972, 43.308423], [-1.982973, 43.308387], [-1.982999, 43.308365], [-1.983086, 43.308329], [-1.986052, 43.308449], [-1.986245, 43.308512], [-1.986346, 43.308494], [-1.986459, 43.308436], [-1.986502, 43.308323], [-1.987347, 43.307784], [-1.987435, 43.307757], [-1.987578, 43.307783], [-1.98763, 43.307823], [-1.987772, 43.308033], [-1.987881, 43.308102], [-1.987958, 43.308112], [-1.988866, 43.308074], [-1.989116, 43.308039], [-1.989862, 43.30783], [-1.995596, 43.305562], [-1.996119, 43.305309], [-1.996457, 43.305079], [-1.996797, 43.304776], [-1.996954, 43.304597], [-1.997958, 43.303071], [-1.998052, 43.302952], [-1.998191, 43.302836], [-1.998433, 43.302708], [-1.9987, 43.302622], [-1.999191, 43.302545], [-1.999335, 43.302504], [-1.999498, 43.302392], [-1.999666, 43.302323], [-1.999854, 43.30229], [-2.000088, 43.302282], [-2.000398, 43.302302], [-2.000481, 43.30228], [-2.000579, 43.302208], [-2.000827, 43.30237], [-2.001082, 43.302298], [-2.001133, 43.302312], [-2.001276, 43.302457], [-2.001341, 43.302483], [-2.001361, 43.302476], [-2.001435, 43.302528], [-2.001429, 43.302504]]",990561,3766.377
2,14,"[[-1.982469, 43.320527], [-1.982316, 43.320583], [-1.982337, 43.320614], [-1.981581, 43.32089], [-1.981471, 43.320951], [-1.980406, 43.321342], [-1.980279, 43.321367], [-1.980184, 43.321324], [-1.979596, 43.320857], [-1.979515, 43.320839], [-1.979448, 43.320853], [-1.97905, 43.320979], [-1.978947, 43.320833], [-1.978981, 43.320722], [-1.978861, 43.320795], [-1.977654, 43.321244], [-1.977749, 43.321413], [-1.977557, 43.321491], [-1.977533, 43.321529], [-1.977529, 43.321592], [-1.977427, 43.321687], [-1.977409, 43.321723], [-1.977419, 43.321953], [-1.977352, 43.32226], [-1.977202, 43.322242], [-1.976579, 43.322338], [-1.975723, 43.322532], [-1.975659, 43.322589], [-1.974752, 43.322756], [-1.97456, 43.322598], [-1.974147, 43.32289], [-1.972088, 43.324217], [-1.972665, 43.324683], [-1.973513, 43.324093]]",378381,1295.425
2,15,"[[-1.982469, 43.320527], [-1.982316, 43.320583], [-1.982337, 43.320614], [-1.980778, 43.321204], [-1.981794, 43.322656], [-1.981774, 43.322763], [-1.981709, 43.322826], [-1.980882, 43.323043], [-1.980756, 43.323122], [-1.980658, 43.323232], [-1.980702, 43.323313], [-1.97937, 43.323802], [-1.97611, 43.325065], [-1.972383, 43.326439], [-1.971924, 43.326746], [-1.971681, 43.326687], [-1.971456, 43.326492], [-1.971308, 43.326351], [-1.971146, 43.32623], [-1.971286, 43.326131], [-1.970935, 43.325863], [-1.971113, 43.325742]]",411852,1448.214
2,16,"[[-1.982469, 43.320527], [-1.982316, 43.320583], [-1.982337, 43.320614], [-1.981581, 43.32089], [-1.981471, 43.320951], [-1.980406, 43.321342], [-1.980279, 43.321367], [-1.980184, 43.321324], [-1.979596, 43.320857], [-1.979515, 43.320839], [-1.979448, 43.320853], [-1.97905, 43.320979], [-1.978947, 43.320833], [-1.978981, 43.320722], [-1.978861, 43.320795], [-1.977654, 43.321244], [-1.977749, 43.321413], [-1.977557, 43.321491], [-1.977533, 43.321529], [-1.977503, 43.321483], [-1.977477, 43.321491], [-1.977422, 43.321442], [-1.977321, 43.321444], [-1.97725, 43.321415], [-1.977192, 43.321341], [-1.977091, 43.321319], [-1.976748, 43.320883], [-1.97666, 43.320758], [-1.976662, 43.320732], [-1.976109, 43.320621], [-1.97538, 43.320295], [-1.97535, 43.320204], [-1.97534, 43.320174], [-1.974495, 43.319782], [-1.974846, 43.318503], [-1.974836, 43.318381], [-1.97478, 43.318374], [-1.974764, 43.318294], [-1.974922, 43.317564], [-1.974945, 43.317225], [-1.97493, 43.317094], [-1.974891, 43.316925], [-1.974806, 43.316705], [-1.974689, 43.316592], [-1.974543, 43.316508], [-1.974547, 43.316126], [-1.974484, 43.316104], [-1.974196, 43.316077], [-1.973893, 43.315956], [-1.97362, 43.315891], [-1.971898, 43.315787], [-1.971908, 43.315837], [-1.970151, 43.31661], [-1.967743, 43.3177], [-1.967691, 43.317645], [-1.967612, 43.317615], [-1.967511, 43.31762], [-1.965882, 43.31823], [-1.965636, 43.318309], [-1.965638, 43.318235], [-1.965608, 43.318182], [-1.964229, 43.316054], [-1.964213, 43.315978], [-1.964229, 43.315923], [-1.964536, 43.315451], [-1.964544, 43.315373], [-1.964571, 43.315345], [-1.964594, 43.315327], [-1.964613, 43.315057], [-1.964597, 43.314965], [-1.96453, 43.314821], [-1.96446, 43.314739], [-1.964361, 43.314661], [-1.964186, 43.314555], [-1.963805, 43.314376], [-1.963572, 43.314309], [-1.962773, 43.314184], [-1.961665, 43.313851], [-1.960997, 43.313753], [-1.960997, 43.313712], [-1.960504, 43.31367], [-1.960309, 43.313633], [-1.960017, 43.313523], [-1.960024, 43.313619], [-1.959903, 43.31363], [-1.95985, 43.313651], [-1.959722, 43.313767], [-1.959604, 43.313824], [-1.958289, 43.3141], [-1.958176, 43.313843], [-1.958078, 43.313739], [-1.957946, 43.313649], [-1.956727, 43.313067]]",903798,3278.593
3,1,"[[-1.981604, 43.318286], [-1.98172, 43.318243], [-1.983154, 43.320314], [-1.983852, 43.320061], [-1.983897, 43.320095], [-1.984075, 43.320031], [-1.984059, 43.320106], [-1.984094, 43.320174], [-1.984909, 43.321331], [-1.985065, 43.321606], [-1.985079, 43.321642], [-1.985052, 43.321704], [-1.985095, 43.3218]]",155200,572.4
3,2,"[[-1.981604, 43.318286], [-1.98172, 43.318243], [-1.983131, 43.320282], [-1.982469, 43.320527]]",118010,324.485
3,4,"[[-1.981604, 43.318286], [-1.98172, 43.318243], [-1.98209, 43.318777], [-1.980478, 43.319388], [-1.980104, 43.318845], [-1.979717, 43.318321], [-1.97981, 43.317415], [-1.977656, 43.317287], [-1.977642, 43.317375], [-1.977334, 43.317384], [-1.97726, 43.317431], [-1.97724, 43.31749], [-1.977245, 43.317535], [-1.97729, 43.317617], [-1.977218, 43.318102], [-1.977395, 43.318222], [-1.977343, 43.318639]]",182472,821.366
3,5,"[[-1.981604, 43.318286], [-1.98172, 43.318243], [-1.98209, 43.318777], [-1.980478, 43.319388], [-1.980104, 43.318845], [-1.979717, 43.318321], [-1.979961, 43.315997], [-1.980206, 43.313717], [-1.98039, 43.313723], [-1.981305, 43.313393], [-1.981371, 43.313355], [-1.981389, 43.31338], [-1.981735, 43.313247], [-1.981753, 43.313275]]",249147,1014.601
3,6,"[[-1.981604, 43.318286], [-1.98172, 43.318243], [-1.98209, 43.318777], [-1.980478, 43.319388], [-1.980104, 43.318845], [-1.979717, 43.318321], [-1.979875, 43.316803], [-1.979422, 43.316774], [-1.979185, 43.316761], [-1.979564, 43.313278], [-1.97957, 43.312592], [-1.979396, 43.311631], [-1.979414, 43.311501], [-1.978952, 43.309324], [-1.978818, 43.309], [-1.978615, 43.308668], [-1.978395, 43.308358], [-1.978556, 43.308276], [-1.978574, 43.308224], [-1.978495, 43.308209], [-1.978404, 43.308124], [-1.978363, 43.308049], [-1.978378, 43.307998], [-1.979073, 43.307635], [-1.978856, 43.307433], [-1.978851, 43.307368], [-1.978714, 43.307445]]",408703,1706.772
3,7,"[[-1.981604, 43.318286], [-1.98172, 43.318243], [-1.98209, 43.318777], [-1.980478, 43.319388], [-1.980104, 43.318845], [-1.979717, 43.318321], [-1.979875, 43.316803], [-1.979422, 43.316774], [-1.979185, 43.316761], [-1.979564, 43.313278], [-1.97957, 43.312592], [-1.979396, 43.311631], [-1.979414, 43.311501], [-1.978952, 43.309324], [-1.978818, 43.309], [-1.978615, 43.308668], [-1.978395, 43.308358], [-1.978164, 43.308084], [-1.97788, 43.307801], [-1.977204, 43.307337], [-1.976952, 43.307192], [-1.976654, 43.307081], [-1.976262, 43.306995], [-1.975922, 43.306956], [-1.975812, 43.306929], [-1.975777, 43.307054], [-1.975428, 43.307067], [-1.974854, 43.307142], [-1.974237, 43.307348], [-1.973905, 43.307534], [-1.97376, 43.307651], [-1.973575, 43.307862], [-1.973481, 43.308012], [-1.973398, 43.308258], [-1.973352, 43.308664], [-1.973366, 43.308843], [-1.971564, 43.308906], [-1.971568, 43.308959], [-1.971595, 43.30899], [-1.971657, 43.309979]]",517676,2408.071
3,8,"[[-1.981604, 43.318286], [-1.98172, 43.318243], [-1.98209, 43.318777], [-1.980478, 43.319388], [-1.980104, 43.318845], [-1.979717, 43.318321], [-1.979875, 43.316803], [-1.979422, 43.316774], [-1.979185, 43.316761], [-1.979564, 43.313278], [-1.97957, 43.312592], [-1.979396, 43.311631], [-1.979414, 43.311501], [-1.978952, 43.309324], [-1.978818, 43.309], [-1.978615, 43.308668], [-1.978395, 43.308358], [-1.978164, 43.308084], [-1.97788, 43.307801], [-1.977204, 43.307337], [-1.976952, 43.307192], [-1.976654, 43.307081], [-1.976262, 43.306995], [-1.975922, 43.306956], [-1.975812, 43.306929], [-1.975575, 43.306694], [-1.976462, 43.306228], [-1.976669, 43.306101], [-1.977744, 43.30555], [-1.97767, 43.305448], [-1.97537, 43.303165], [-1.975328, 43.303186], [-1.976296, 43.304188]]",563017,2523.367
3,9,"[[-1.981604, 43.318286], [-1.98172, 43.318243], [-1.98209, 43.318777], [-1.980478, 43.319388], [-1.980104, 43.318845], [-1.979717, 43.318321], [-1.979875, 43.316803], [-1.979422, 43.316774], [-1.979185, 43.316761], [-1.979564, 43.313278], [-1.97957, 43.312592], [-1.979396, 43.311631], [-1.979414, 43.311501], [-1.978952, 43.309324], [-1.978818, 43.309], [-1.978615, 43.308668], [-1.978395, 43.308358], [-1.978164, 43.308084], [-1.97788, 43.307801], [-1.977204, 43.307337], [-1.976952, 43.307192], [-1.976654, 43.307081], [-1.976262, 43.306995], [-1.975922, 43.306956], [-1.975812, 43.306929], [-1.975575, 43.306694], [-1.976462, 43.306228], [-1.976509, 43.306142], [-1.97653, 43.306049], [-1.97648, 43.306005], [-1.975076, 43.305449], [-1.975125, 43.305385], [-1.975087, 43.305143], [-1.974905, 43.304957], [-1.974623, 43.304897], [-1.974559, 43.303464], [-1.974594, 43.303376], [-1.974497, 43.30331], [-1.974192, 43.302995], [-1.974118, 43.302993], [-1.974058, 43.30301], [-1.973924, 43.303076], [-1.973788, 43.302928], [-1.973741, 43.302751], [-1.973753, 43.302522], [-1.974205, 43.302434], [-1.974725, 43.302211], [-1.975054, 43.30197], [-1.975269, 43.301956], [-1.975468, 43.30208], [-1.975544, 43.302055], [-1.97561, 43.30212], [-1.97518, 43.302335]]",717921,2702.547
3,10,"[[-1.981604, 43.318286], [-1.98172, 43.318243], [-1.982548, 43.319445], [-1.983914, 43.318937], [-1.983936, 43.318968], [-1.983971, 43.31897], [-1.984282, 43.318872], [-1.984386, 43.318858], [-1.984466, 43.318884], [-1.984678, 43.318765], [-1.984877, 43.318689], [-1.984944, 43.318638], [-1.985105, 43.318402], [-1.985677, 43.317703], [-1.986203, 43.317171], [-1.986806, 43.316664], [-1.987477, 43.316174], [-1.988225, 43.31567], [-1.989145, 43.315165], [-1.989337, 43.315113], [-1.991613, 43.314674], [-1.992253, 43.314578], [-1.992592, 43.314542], [-1.993737, 43.314509], [-1.995679, 43.314499], [-1.995968, 43.314522], [-1.997295, 43.314793], [-1.997722, 43.314934], [-1.99878, 43.315392], [-1.999274, 43.315553], [-2.000136, 43.315678], [-2.000306, 43.315686], [-2.000479, 43.315677], [-2.000834, 43.315592], [-2.001015, 43.315521], [-2.001069, 43.315505], [-2.001238, 43.315521], [-2.001529, 43.315606], [-2.00157, 43.315644], [-2.001699, 43.315681], [-2.001775, 43.315672], [-2.003416, 43.316183], [-2.004404, 43.314445], [-2.004459, 43.314306], [-2.00448, 43.314271], [-2.00453, 43.314207], [-2.005823, 43.313555], [-2.005825, 43.313506], [-2.005599, 43.313267], [-2.005614, 43.313217], [-2.006333, 43.31285], [-2.005956, 43.312451], [-2.005904, 43.31248]]",640363,2657.04
3,11,"[[-1.981604, 43.318286], [-1.98172, 43.318243], [-1.982548, 43.319445], [-1.983914, 43.318937], [-1.983936, 43.318968], [-1.983971, 43.31897], [-1.984282, 43.318872], [-1.984386, 43.318858], [-1.984466, 43.318884], [-1.984678, 43.318765], [-1.984877, 43.318689], [-1.984944, 43.318638], [-1.985105, 43.318402], [-1.985677, 43.317703], [-1.986203, 43.317171], [-1.986806, 43.316664], [-1.987477, 43.316174], [-1.988225, 43.31567], [-1.989145, 43.315165], [-1.989337, 43.315113], [-1.991613, 43.314674], [-1.992253, 43.314578], [-1.992592, 43.314542], [-1.993737, 43.314509], [-1.995679, 43.314499], [-1.995968, 43.314522], [-1.997295, 43.314793], [-1.997722, 43.314934], [-1.99878, 43.315392], [-1.999274, 43.315553], [-2.000136, 43.315678], [-2.000306, 43.315686], [-2.000479, 43.315677], [-2.000834, 43.315592], [-2.001015, 43.315521], [-2.001069, 43.315505], [-2.001238, 43.315521], [-2.001529, 43.315606], [-2.00157, 43.315644], [-2.001699, 43.315681], [-2.001775, 43.315672], [-2.003416, 43.316183], [-2.004404, 43.314445], [-2.004459, 43.314306], [-2.00448, 43.314271], [-2.00453, 43.314207], [-2.00579, 43.313572], [-2.005828, 43.313612], [-2.008903, 43.312079], [-2.00874, 43.311913]]",673324,2810.627
3,12,"[[-1.981604, 43.318286], [-1.98172, 43.318243], [-1.982548, 43.319445], [-1.983914, 43.318937], [-1.983936, 43.318968], [-1.983971, 43.31897], [-1.984282, 43.318872], [-1.984386, 43.318858], [-1.984466, 43.318884], [-1.984678, 43.318765], [-1.984877, 43.318689], [-1.984944, 43.318638], [-1.985105, 43.318402], [-1.985677, 43.317703], [-1.986203, 43.317171], [-1.986806, 43.316664], [-1.987477, 43.316174], [-1.988225, 43.31567], [-1.989145, 43.315165], [-1.989337, 43.315113], [-1.991613, 43.314674], [-1.992253, 43.314578], [-1.992592, 43.314542], [-1.993737, 43.314509], [-1.995679, 43.314499], [-1.995968, 43.314522], [-1.997295, 43.314793], [-1.997722, 43.314934], [-1.99878, 43.315392], [-1.999274, 43.315553], [-2.000136, 43.315678], [-2.000306, 43.315686], [-2.000479, 43.315677], [-2.000834, 43.315592], [-2.001015, 43.315521], [-2.001069, 43.315505], [-2.001238, 43.315521], [-2.001529, 43.315606], [-2.00157, 43.315644], [-2.001699, 43.315681], [-2.001775, 43.315672], [-2.003416, 43.316183], [-2.004404, 43.314445], [-2.004459, 43.314306], [-2.00448, 43.314271], [-2.00453, 43.314207], [-2.005823, 43.313555], [-2.005825, 43.313506], [-2.005599, 43.313267], [-2.005614, 43.313217], [-2.010119, 43.310953], [-2.010175, 43.310906], [-2.010197, 43.310699], [-2.010369, 43.310475], [-2.010495, 43.310227], [-2.010565, 43.309964], [-2.010641, 43.309294], [-2.010624, 43.309155], [-2.010544, 43.309028], [-2.010579, 43.309003], [-2.010557, 43.308982], [-2.010437, 43.30897]]",764233,3210.926
3,13,"[[-1.981604, 43.318286], [-1.98172, 43.318243], [-1.98209, 43.318777], [-1.980478, 43.319388], [-1.980104, 43.318845], [-1.979717, 43.318321], [-1.979961, 43.315997], [-1.980206, 43.313717], [-1.98039, 43.313723], [-1.980575, 43.313664], [-1.981305, 43.313393], [-1.981422, 43.313326], [-1.981369, 43.313284], [-1.981146, 43.312959], [-1.981009, 43.312698], [-1.980771, 43.312283], [-1.980742, 43.312204], [-1.980763, 43.312158], [-1.980755, 43.312054], [-1.980548, 43.311733], [-1.980419, 43.311254], [-1.980278, 43.311268], [-1.979725, 43.308485], [-1.981659, 43.308275], [-1.981841, 43.308288], [-1.981857, 43.308204], [-1.982757, 43.308233], [-1.982756, 43.308264], [-1.982798, 43.308318], [-1.982865, 43.308339], [-1.982907, 43.308336], [-1.982935, 43.308434], [-1.982972, 43.308423], [-1.982973, 43.308387], [-1.982999, 43.308365], [-1.983086, 43.308329], [-1.986052, 43.308449], [-1.986245, 43.308512], [-1.986346, 43.308494], [-1.986459, 43.308436], [-1.986502, 43.308323], [-1.987347, 43.307784], [-1.987435, 43.307757], [-1.987578, 43.307783], [-1.98763, 43.307823], [-1.987772, 43.308033], [-1.987881, 43.308102], [-1.987958, 43.308112], [-1.988866, 43.308074], [-1.989116, 43.308039], [-1.989862, 43.30783], [-1.995596, 43.305562], [-1.996119, 43.305309], [-1.996457, 43.305079], [-1.996797, 43.304776], [-1.996954, 43.304597], [-1.997958, 43.303071], [-1.998052, 43.302952], [-1.998191, 43.302836], [-1.998433, 43.302708], [-1.9987, 43.302622], [-1.999191, 43.302545], [-1.999335, 43.302504], [-1.999498, 43.302392], [-1.999666, 43.302323], [-1.999854, 43.30229], [-2.000088, 43.302282], [-2.000398, 43.302302], [-2.000481, 43.30228], [-2.000579, 43.302208], [-2.000827, 43.30237], [-2.001082, 43.302298], [-2.001133, 43.302312], [-2.001276, 43.302457], [-2.001341, 43.302483], [-2.001361, 43.302476], [-2.001435, 43.302528], [-2.001429, 43.302504]]",962759,3710.313
3,14,"[[-1.981604, 43.318286], [-1.98172, 43.318243], [-1.98209, 43.318777], [-1.979571, 43.31973], [-1.979248, 43.319866], [-1.979194, 43.319809], [-1.979016, 43.319813], [-1.979009, 43.319933], [-1.979108, 43.320391], [-1.979063, 43.32052], [-1.978981, 43.320722], [-1.978861, 43.320795], [-1.977654, 43.321244], [-1.977749, 43.321413], [-1.977557, 43.321491], [-1.977533, 43.321529], [-1.977529, 43.321592], [-1.977427, 43.321687], [-1.977409, 43.321723], [-1.977419, 43.321953], [-1.977352, 43.32226], [-1.977202, 43.322242], [-1.976579, 43.322338], [-1.975723, 43.322532], [-1.975659, 43.322589], [-1.974752, 43.322756], [-1.97456, 43.322598], [-1.974147, 43.32289], [-1.972088, 43.324217], [-1.972665, 43.324683], [-1.973513, 43.324093]]",397184,1395.87
3,15,"[[-1.981604, 43.318286], [-1.98172, 43.318243], [-1.98209, 43.318777], [-1.979571, 43.31973], [-1.979248, 43.319866], [-1.979194, 43.319809], [-1.979016, 43.319813], [-1.979009, 43.319933], [-1.979108, 43.320391], [-1.979063, 43.32052], [-1.978981, 43.320722], [-1.978861, 43.320795], [-1.977654, 43.321244], [-1.977749, 43.321413], [-1.977557, 43.321491], [-1.977533, 43.321529], [-1.977529, 43.321592], [-1.977427, 43.321687], [-1.977409, 43.321723], [-1.977419, 43.321953], [-1.977352, 43.32226], [-1.977202, 43.322242], [-1.976579, 43.322338], [-1.975723, 43.322532], [-1.975659, 43.322589], [-1.974752, 43.322756], [-1.97456, 43.322598], [-1.974147, 43.32289], [-1.971141, 43.324821], [-1.970405, 43.325314], [-1.970482, 43.325367], [-1.970419, 43.325415], [-1.970969, 43.32584], [-1.971113, 43.325742]]",417294,1511.906
